zip,real_bup,real_meth,real_nal,s1_bup,s1_meth,s1_nal,s2_bup,s2_meth,s2_nal,s3_bup,s3_meth,s3_nal
60559,1.9765,1.8541,1.7708,2.4221,15.1039,6.2296,1.4357,7.9202,4.1827,1.2265,3.9599,3.9685
60561,2.7395,3.3667,4.9607,4.3297,14.6274,6.1619,1.4268,6.9677,3.7778,1.0146,3.0476,5.2006
60563,0.9997,1.6393,0.9641,6.4636,6.1172,1.0377,0.9442,0.5168,2.5375,1.8887,5.8769,4.7515
60564,0.39,6.2349,4.1222,3.7394,10.6973,5.1969,0.897,3.1132,1.9223,3.6719,7.1084,3.9877
60565,2.3535,5.0849,2.6204,5.2552,11.2309,4.1752,0.3529,2.0095,1.8219,2.9246,4.4608,2.3442
60601,0.1294,0.8045,0.444,3.517,11.4779,2.4607,0.0603,1.0024,0.8505,0.4303,2.9253,2.26
60602,0.1271,0.7132,0.1451,3.4673,11.3368,2.5728,0.3359,1.2738,0.9382,0.581,2.5651,1.9134
60603,0.1993,0.9715,0.4169,3.2207,11.1692,2.784,0.3534,1.0066,0.6656,0.6032,2.7714,1.8804
60604,0.3649,1.0505,0.4694,3.1316,11.0218,2.9173,0.5492,1.0644,0.7169,0.4089,2.6445,1.6709
60605,1.0981,1.683,1.3551,2.3045,10.2661,3.6727,0.4401,0.4896,0.3977,0.837,2.9625,1.8287
60606,0.5552,0.755,0.1333,3.5624,11.1475,2.6618,0.4616,1.064,0.8522,0.3948,2.1497,1.5785
60607,0.5639,1.0399,0.5752,3.2934,10.4874,3.311,0.3535,0.6833,0.5153,0.8068,1.5797,0.7329
60608,1.1952,1.3426,0.9525,3.4155,8.5201,2.5829,0.6114,1.2977,1.094,0.4339,0.7871,1.3392
60609,0.9955,1.2967,2.6019,2.9411,6.2869,1.5675,0.6428,0.7036,1.2668,0.6702,1.1618,0.4729
60610,0.5174,0.7494,0.5943,3.8814,12.8761,0.9247,0.5943,0.3241,0.5582,0.5901,2.6314,1.8814
60611,0.0965,1.0236,0.1367,4.0429,11.9926,2.0175,0.36,0.4848,0.3193,0.2859,3.3772,2.7704
60612,0.7007,1.1147,0.6735,1.6245,10.6083,4.0286,0.5739,0.6643,0.4747,0.3235,0.5812,1.0182
